rude Oil,(7.6%)
Natural Gas,(5.3%)
otal Ecopetrol America,(7.2%)
Crude Oil,263.6%
Natural Gas,633.3%
Total Ecopetrol Permian**,342.9%
Crude Oil,(12.5%)
Natural Gas,11.2%
Total Ecopetrol Group,(8.1%)
